LONGITUDE,LATITUDE,PHOTO_URL
47.27212,39.43523,/PhotoFile4Wildfire/39.4352_47.2721_65.png
46.1492,39.70508,/PhotoFile4Wildfire/39.7051_46.1492_65.png
46.7959,39.1745,/PhotoFile4Wildfire/39.1745_46.7959_65.png
46.96631,39.6673,/PhotoFile4Wildfire/39.6673_46.9663_65.png
48.24852,39.98664,/PhotoFile4Wildfire/39.9866_48.2485_65.png
46.5936,39.3795,/PhotoFile4Wildfire/39.3795_46.5936_65.png
46.845,39.3033,/PhotoFile4Wildfire/39.3033_46.8450_65.png
46.80222,39.17209,/PhotoFile4Wildfire/39.1721_46.8022_65.png
46.6599,39.4923,/PhotoFile4Wildfire/39.4923_46.6599_65.png
46.2068,39.7175,/PhotoFile4Wildfire/39.7175_46.2068_65.png
47.42238,41.116,/PhotoFile4Wildfire/41.1160_47.4224_65.png
46.97301,39.65734,/PhotoFile4Wildfire/39.6573_46.9730_65.png
46.84319,39.25574,/PhotoFile4Wildfire/39.2557_46.8432_65.png
46.34244,39.65042,/PhotoFile4Wildfire/39.6504_46.3424_65.png
49.1133,41.2373,/PhotoFile4Wildfire/41.2373_49.1133_65.png
46.4217,40.9284,/PhotoFile4Wildfire/40.9284_46.4217_65.png
46.6377,40.7559,/PhotoFile4Wildfire/40.7559_46.6377_65.png
46.83127,39.26173,/PhotoFile4Wildfire/39.2617_46.8313_65.png
46.47807,39.4286,/PhotoFile4Wildfire/39.4286_46.4781_65.png
46.76131,39.46906,/PhotoFile4Wildfire/39.4691_46.7613_65.png
46.042,39.7939,/PhotoFile4Wildfire/39.7939_46.0420_65.png
46.2532,39.7004,/PhotoFile4Wildfire/39.7004_46.2532_65.png
46.55116,39.32739,/PhotoFile4Wildfire/39.3274_46.5512_65.png
46.86148,39.29766,/PhotoFile4Wildfire/39.2977_46.8615_65.png
47.61425,39.67819,/PhotoFile4Wildfire/39.6782_47.6142_65.png
46.76578,39.4697,/PhotoFile4Wildfire/39.4697_46.7658_65.png
46.18753,39.74386,/PhotoFile4Wildfire/39.7439_46.1875_65.png
47.52966,39.73537,/PhotoFile4Wildfire/39.7354_47.5297_65.png
46.28194,39.7424,/PhotoFile4Wildfire/39.7424_46.2819_65.png
46.84032,39.26368,/PhotoFile4Wildfire/39.2637_46.8403_65.png
48.7849,39.1701,/PhotoFile4Wildfire/39.1701_48.7849_65.png
47.30112,39.5706,/PhotoFile4Wildfire/39.5706_47.3011_65.png
46.53968,39.32505,/PhotoFile4Wildfire/39.3250_46.5397_65.png
47.60876,39.67713,/PhotoFile4Wildfire/39.6771_47.6088_65.png
48.8116,41.2148,/PhotoFile4Wildfire/41.2148_48.8116_65.png
48.79605,38.81188,/PhotoFile4Wildfire/38.8119_48.7961_65.png
48.6727,39.2115,/PhotoFile4Wildfire/39.2115_48.6727_65.png
46.669,40.2468,/PhotoFile4Wildfire/40.2468_46.6690_65.png
48.25792,39.98828,/PhotoFile4Wildfire/39.9883_48.2579_65.png
48.794,41.2131,/PhotoFile4Wildfire/41.2131_48.7940_65.png
46.66759,40.26693,/PhotoFile4Wildfire/40.2669_46.6676_65.png
46.7243,39.2063,/PhotoFile4Wildfire/39.2063_46.7243_65.png
46.286,39.7277,/PhotoFile4Wildfire/39.7277_46.2860_65.png
46.9708,39.4544,/PhotoFile4Wildfire/39.4544_46.9708_65.png
46.69353,39.46952,/PhotoFile4Wildfire/39.4695_46.6935_65.png
46.66302,40.25586,/PhotoFile4Wildfire/40.2559_46.6630_65.png
46.473,39.7286,/PhotoFile4Wildfire/39.7286_46.4730_65.png
47.18211,39.4814,/PhotoFile4Wildfire/39.4814_47.1821_65.png
46.68432,39.47318,/PhotoFile4Wildfire/39.4732_46.6843_65.png
46.70684,39.40705,/PhotoFile4Wildfire/39.4070_46.7068_65.png
48.858,39.0827,/PhotoFile4Wildfire/39.0827_48.8580_65.png
46.325,39.6463,/PhotoFile4Wildfire/39.6463_46.3250_65.png
47.3064,41.0355,/PhotoFile4Wildfire/41.0355_47.3064_65.png
46.67661,40.26045,/PhotoFile4Wildfire/40.2604_46.6766_65.png
46.0989,40.0181,/PhotoFile4Wildfire/40.0181_46.0989_65.png
46.37893,40.92482,/PhotoFile4Wildfire/40.9248_46.3789_65.png
46.3695,39.2345,/PhotoFile4Wildfire/39.2345_46.3695_65.png
46.67153,40.26778,/PhotoFile4Wildfire/40.2678_46.6715_65.png
48.86703,39.09603,/PhotoFile4Wildfire/39.0960_48.8670_65.png
46.5767,39.3914,/PhotoFile4Wildfire/39.3914_46.5767_65.png
47.8213,39.6504,/PhotoFile4Wildfire/39.6504_47.8213_65.png
46.1586,39.7297,/PhotoFile4Wildfire/39.7297_46.1586_65.png
47.5701,39.9268,/PhotoFile4Wildfire/39.9268_47.5701_65.png
46.6504,40.7543,/PhotoFile4Wildfire/40.7543_46.6504_65.png
46.9497,39.2609,/PhotoFile4Wildfire/39.2609_46.9497_65.png
48.8462,39.1108,/PhotoFile4Wildfire/39.1108_48.8462_65.png
47.41299,41.1135,/PhotoFile4Wildfire/41.1135_47.4130_65.png
48.67874,39.34799,/PhotoFile4Wildfire/39.3480_48.6787_65.png
46.62306,39.52647,/PhotoFile4Wildfire/39.5265_46.6231_65.png
46.14015,39.7349,/PhotoFile4Wildfire/39.7349_46.1401_65.png
46.1721,39.7523,/PhotoFile4Wildfire/39.7523_46.1721_65.png
46.65519,40.24575,/PhotoFile4Wildfire/40.2458_46.6552_65.png
46.47709,39.72267,/PhotoFile4Wildfire/39.7227_46.4771_65.png
47.0156,39.6087,/PhotoFile4Wildfire/39.6087_47.0156_65.png
49.00314,39.2262,/PhotoFile4Wildfire/39.2262_49.0031_65.png
46.67546,40.24787,/PhotoFile4Wildfire/40.2479_46.6755_65.png
46.3835,40.9264,/PhotoFile4Wildfire/40.9264_46.3835_65.png
47.23951,39.4404,/PhotoFile4Wildfire/39.4404_47.2395_65.png
46.12917,39.74177,/PhotoFile4Wildfire/39.7418_46.1292_65.png
47.83068,39.73634,/PhotoFile4Wildfire/39.7363_47.8307_65.png
46.98116,39.65585,/PhotoFile4Wildfire/39.6559_46.9812_65.png
47.1615,39.28561,/PhotoFile4Wildfire/39.2856_47.1615_65.png
46.6239,39.22494,/PhotoFile4Wildfire/39.2249_46.6239_65.png
46.8962,39.6948,/PhotoFile4Wildfire/39.6948_46.8962_65.png
46.6623,40.2526,/PhotoFile4Wildfire/40.2526_46.6623_65.png
46.97131,39.66153,/PhotoFile4Wildfire/39.6615_46.9713_65.png
46.86802,39.72694,/PhotoFile4Wildfire/39.7269_46.8680_65.png
48.68026,39.22826,/PhotoFile4Wildfire/39.2283_48.6803_65.png
46.5578,39.7666,/PhotoFile4Wildfire/39.7666_46.5578_65.png
46.7491,40.6056,/PhotoFile4Wildfire/40.6056_46.7491_65.png
46.25208,41.49476,/PhotoFile4Wildfire/41.4948_46.2521_65.png
46.27091,39.6498,/PhotoFile4Wildfire/39.6498_46.2709_65.png
47.26534,39.42477,/PhotoFile4Wildfire/39.4248_47.2653_65.png
46.5761,39.3761,/PhotoFile4Wildfire/39.3761_46.5761_65.png
47.25132,39.6179,/PhotoFile4Wildfire/39.6179_47.2513_65.png
46.9454,39.5037,/PhotoFile4Wildfire/39.5037_46.9454_65.png
48.8682,39.11527,/PhotoFile4Wildfire/39.1153_48.8682_65.png
46.82906,40.12014,/PhotoFile4Wildfire/40.1201_46.8291_65.png
46.65722,40.24724,/PhotoFile4Wildfire/40.2472_46.6572_65.png
46.2536,39.7609,/PhotoFile4Wildfire/39.7609_46.2536_65.png
46.56527,39.77744,/PhotoFile4Wildfire/39.7774_46.5653_65.png
45.7783,40.9587,/PhotoFile4Wildfire/40.9587_45.7783_65.png
47.22941,39.43811,/PhotoFile4Wildfire/39.4381_47.2294_65.png
