latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
39.8181,46.92216,334.45,0.44,0.39,2023-01-01,0935,N,VIIRS,n,2,278.28,2.19,D,0
40.02534,46.20667,325.82,0.47,0.39,2023-01-01,0935,N,VIIRS,n,2,282.56,3.76,D,0
40.02988,46.21069,336.19,0.46,0.39,2023-01-01,0935,N,VIIRS,n,2,281.56,10.93,D,0
40.02893,46.20568,327.46,0.47,0.39,2023-01-01,0935,N,VIIRS,n,2,286.33,7.75,D,0
40.02978,46.2083,351.42,0.46,0.39,2023-01-01,0935,N,VIIRS,n,2,288.53,17.62,D,0
40.01468,46.09142,330.51,0.47,0.4,2023-01-01,0935,N,VIIRS,n,2,280.85,10.57,D,0
40.01726,46.08517,337.71,0.47,0.4,2023-01-01,0935,N,VIIRS,n,2,285.08,6.2,D,0
40.0209,46.08438,329.58,0.47,0.4,2023-01-01,0935,N,VIIRS,n,2,282.51,6.2,D,0
40.66683,45.79457,328.78,0.47,0.4,2023-01-01,0935,N,VIIRS,n,2,285.92,2.91,D,0
40.00134,46.12482,356.43,0.51,0.66,2023-01-01,2153,N,VIIRS,n,2,267.42,8.48,N,0
39.99566,46.10566,323.04,0.51,0.66,2023-01-01,2153,N,VIIRS,n,2,262.87,10.68,N,0
39.99547,46.11272,335.96,0.51,0.66,2023-01-01,2153,N,VIIRS,n,2,263.97,8.48,N,0
39.99525,46.12063,320.6,0.51,0.66,2023-01-01,2153,N,VIIRS,n,2,262.93,8.48,N,0
40.00306,46.12409,334.58,0.51,0.66,2023-01-01,2153,N,VIIRS,n,2,264.93,5.78,N,0
39.9975,46.10466,326.06,0.51,0.66,2023-01-01,2153,N,VIIRS,n,2,263.7,8.38,N,0
39.99726,46.11188,325.73,0.51,0.66,2023-01-01,2153,N,VIIRS,n,2,264.43,8.38,N,0
39.997,46.11988,367,0.51,0.66,2023-01-01,2153,N,VIIRS,h,2,268.64,13.71,N,0
40.39851,50.14906,301.65,0.48,0.65,2023-01-01,2333,N,VIIRS,n,2,270.49,0.75,N,0
39.99979,46.14084,339.95,0.63,0.54,2023-01-01,2334,N,VIIRS,n,2,265.1,11.38,N,0
39.99797,46.14785,332.79,0.64,0.54,2023-01-01,2334,N,VIIRS,n,2,264.79,5.52,N,0
39.99679,46.13184,342.29,0.63,0.54,2023-01-01,2334,N,VIIRS,n,2,267.68,12.9,N,0
39.99498,46.13882,353.09,0.63,0.54,2023-01-01,2334,N,VIIRS,n,2,264.25,12.9,N,0
39.99697,46.11064,331.19,0.63,0.54,2023-01-01,2334,N,VIIRS,n,2,265.81,8.7,N,0
39.99342,46.12428,342.74,0.63,0.54,2023-01-01,2334,N,VIIRS,n,2,266.59,18.21,N,0
39.98691,46.16721,342.6,0.51,0.49,2023-01-02,0916,N,VIIRS,n,2,283.65,6.27,D,0
39.99157,46.16661,337.85,0.51,0.49,2023-01-02,0916,N,VIIRS,n,2,286.93,6.27,D,0
39.98748,46.16523,341.99,0.51,0.49,2023-01-02,0916,N,VIIRS,n,2,285.69,9.1,D,0
39.98339,46.14825,325.88,0.51,0.49,2023-01-02,0916,N,VIIRS,n,2,286.48,4.97,D,0
39.99215,46.16461,325.25,0.51,0.49,2023-01-02,0916,N,VIIRS,n,2,287.48,4.44,D,0
