latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
40.19751,49.47258,336.94,0.42,0.45,2024-01-17,1004,N21,VIIRS,n,2.0NRT,285.05,4.02,D
41.23318,48.90563,333.07,0.4,0.37,2024-01-18,0945,N21,VIIRS,n,2.0NRT,284.84,3.87,D
40.25146,49.44782,299.45,0.39,0.59,2024-01-19,2326,N21,VIIRS,n,2.0NRT,275.5,0.99,N
40.25224,49.44557,298.37,0.75,0.77,2024-01-20,2125,N21,VIIRS,n,2.0NRT,275.95,2.09,N
40.19812,49.4708,295.63,0.45,0.47,2024-01-20,2305,N21,VIIRS,n,2.0NRT,276.07,0.84,N
40.40443,49.91578,304.29,0.58,0.7,2024-01-25,2131,N21,VIIRS,n,2.0NRT,274.2,2.52,N
40.4053,49.91657,315.29,0.56,0.52,2024-01-25,2311,N21,VIIRS,n,2.0NRT,275.3,3.09,N
40.25084,49.44702,304.87,0.32,0.55,2024-01-30,2318,N21,VIIRS,n,2.0NRT,274.8,1.03,N
40.22264,49.5571,296.24,0.33,0.55,2024-01-30,2318,N21,VIIRS,n,2.0NRT,274.28,0.71,N
40.40495,49.91542,329.38,0.47,0.48,2024-01-31,0902,N21,VIIRS,n,2.0NRT,284.64,2.57,D
40.40942,49.92243,325.79,0.71,0.75,2024-01-31,1042,N21,VIIRS,n,2.0NRT,282.92,4.03,D
40.40706,49.91856,301.63,0.4,0.37,2024-02-01,2241,N21,VIIRS,n,2.0NRT,275.84,0.98,N
40.25096,49.44765,304.36,0.39,0.37,2024-02-01,2241,N21,VIIRS,n,2.0NRT,274.29,1.7,N
40.25033,49.44452,306.52,0.43,0.38,2024-02-02,2222,N21,VIIRS,n,2.0NRT,273.84,1.03,N
40.25187,49.44411,297.95,0.47,0.47,2024-02-03,2203,N21,VIIRS,n,2.0NRT,273.72,1.91,N
40.34259,48.1802,328.53,0.45,0.39,2024-02-04,0926,N21,VIIRS,n,2.0NRT,288.13,5.6,D
40.58325,47.10931,328.33,0.48,0.4,2024-02-04,0926,N21,VIIRS,n,2.0NRT,288.62,2.87,D
40.51989,47.04147,327.43,0.49,0.4,2024-02-04,0926,N21,VIIRS,n,2.0NRT,287.12,3.68,D
40.55387,48.06973,329.07,0.45,0.39,2024-02-04,0926,N21,VIIRS,n,2.0NRT,285.82,3.47,D
40.08405,47.78515,331.85,0.46,0.39,2024-02-04,0926,N21,VIIRS,n,2.0NRT,290.3,14.69,D
40.2305,48.34837,332.14,0.44,0.39,2024-02-04,0926,N21,VIIRS,n,2.0NRT,288.61,6.01,D
40.34097,47.64957,337.7,0.47,0.39,2024-02-04,0926,N21,VIIRS,n,2.0NRT,290.36,9.53,D
40.40614,49.91322,298.43,0.4,0.6,2024-02-04,2144,N21,VIIRS,n,2.0NRT,272.97,1.68,N
40.25178,49.44536,303.08,0.42,0.61,2024-02-04,2144,N21,VIIRS,n,2.0NRT,271.01,1.46,N
40.2505,49.44798,298.44,0.39,0.59,2024-02-04,2326,N21,VIIRS,n,2.0NRT,275.76,1.14,N
